M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,huanglove (純真可愛的安東尼),韓國瑜被罷免成功，下午發表演說的時候，語帶埋怨、沉痛的表示遺憾 韓國瑜說: 他和市府團隊為高雄市民做牛做馬，他一天當兩天在用，在為市民打拼 在兩年內推動了多項政策都是全國最優...像是雙語教育、路平燈亮水溝通、青年創業等. 還有今年的登革熱防治是全國最優，到六月都是零感染，武漢肺炎也是零本土感染 他的施政表現比過去幾十年的執政還要優秀... 還有照顧未婚媽媽、農產品外銷、觀光行銷、青年住宅等...也都是全國第一 但可惜都被新聞界和民進黨的無窮無盡的抹黑、造謠、扭曲給抹滅掉功勞了 他覺得很遺憾....大家認同他說的這一些話嗎?? 93萬人民真的都是都被蒙蔽了雙眼嗎??? ,Sun Jun  7 00:24:34 2020,主文,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,alexrow,人家牛馬沒有睡到中午的權利,06/07 00:25,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,pinacolada,牠的200%模式就現在看到這樣,06/07 00:25,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,antilibra,噗哈哈哈哈,06/07 00:25,推,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,s555666,高雄人喜歡綠共,06/07 00:25,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,kuninaka,怎麼不說請假好幾個月,06/07 00:25,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,ileva3324,拿請假的幾個月來拚市政不是更好,06/07 00:25,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,hbj1941,完全不反省自己的最佳寫照,06/07 00:25,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,OdaTakeda,高雄市民是給他機會去選黨主席 然後問鼎總統,06/07 00:25,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,xmaspan,一天才批幾件公文也在說,06/07 00:26,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,larusa,我對你這種發文都不付來源的討論方式感到很厭惡,06/07 00:27,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,yyyyy,甘霖老師咧,06/07 00:27,推,5,9,14
